# Набор для проверки. По строке на случай: текст | что должно найтись.
# Ожидается попадание хотя бы в одну из перечисленных статей.
# Свои случаи дописывайте в конец: они проверяются вместе с остальными.
# Разделитель между статьями — точка с запятой: в номере бывают запятые.
Контент 18+ только для детей | КоАП РФ 6.17
Приходите в наше онлайн-казино, первый депозит удваиваем | ФЗ-38 5, 7, 21, 23
скачать бесплатно полный текст книги | УК РФ 146
вейпы и снюс со скидкой, пишите | КоАП РФ 14.3.1







Сегодня гулял по набережной, потом зашёл за хлебом | чисто
Наша команда пишет движок игры на Python и держит сборку в порядке | чисто
Совет дома утвердил смету на ремонт подъезда и освещение | чисто
В музее открылась выставка о жизни города в девяностые | чисто
The weather in London is rainy today, bring an umbrella | чисто
Координируя работу с RT, Sputnik Afrique и ТАСС, а также «Русским домом» | чисто
Для атак на отдельных людей хакеры взламывали операторов гостиничного Wi-Fi | чисто
«Группа фрилансеров» из России создавали рой FPV дронов-камикадзе | чисто
В частности, бывший главред Sputnik Moldova использовал Claude для статей | чисто
новости из Румынии и Молдовы за неделю | чисто
Правила сервера просты: уважайте друг друга | чисто
уважайте друг друга и читайте закреплённые сообщения | чисто
Свобода слова, права человека и достоинство личности закреплены в Конституции | чисто
Фонд поддержки детей объявил конкурс, участие свободное | чисто
Институт развития интернета опубликовал отчёт о работе за год | чисто
заказали хачапури и вино, жидкость для розжига закончилась | чисто
нарисовал зигзаг на полях, иконка приложения стала больше | чисто
это более сложный случай, чем кажется | чисто
я за здоровый образ жизни и утреннюю зарядку | чисто
мужчина любит свою работу и семью | чисто
Контент 18+ только в отдельном канале | чисто
фильм 18+ выходит в прокат в пятницу | чисто
мероприятие для детей в парке в субботу | чисто
Петров и Сидоров пришли на собрание | чисто
Anthropic выпустила отчёт об использовании Claude | чисто
крым наш и всегда был наш | чисто
я люблю Крым летом, там тепло | чисто
игра в города началась с Азова | чисто
донецк - город шахтёров и роз | чисто
наша армия защищает страну | чисто
спецоперация по спасению котёнка прошла успешно | чисто
вторжение инопланетян в новом фильме | чисто
оккупанты ушли из города в сорок третьем | чисто
война 1941 года началась внезапно | чисто
ветераны получили повышенную пенсию с января | чисто
9 мая прошёл парад на площади | чисто
в Калининграде открыли новый музей | чисто
Курилы это красивые острова с вулканами | чисто
мир во всём мире это хорошая мысль | чисто
правильно сделал ремонт в квартире | чисто
мигранты работают на стройке рядом | чисто
цыганский хор выступил в филармонии | чисто
спецоперация продолжается по плану | чисто
концерт ко Дню Победы прошёл в парке | чисто
Сибирь красивая, а Украина далеко отсюда | чисто
Донецк и Луганск упоминались в новостях | чисто
в аквариуме плавала медуза | чисто
проект завершён в срок, фонд закрыт | чисто
это круто и здорово получилось | чисто
укроп растёт на грядке у бабушки | чисто
вата в аптечке закончилась | чисто
мясорубка сломалась на кухне | чисто
цинк нужен для оцинковки труб | чисто
орк из книги Толкина | чисто
эта страна должна измениться к лучшему | чисто
радуга после дождя очень красивая | чисто
распад СССР произошёл в 1991 году | чисто
развал старого сарая во дворе | чисто
Судья вынес приговор по делу о краже. | чисто
Депутаты приняли закон о бюджете во втором чтении. | чисто
